City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,35.6,76.0,994.0,98.0,28.92,TF,1717440961.0
1,feodosiya,45.0333,35.3833,68.36,64.0,1016.0,0.0,8.05,UA,1717440963.0
2,ilulissat,69.2167,-51.1,37.42,56.0,1031.0,20.0,10.36,GL,1717440964.0
3,albany,42.6001,-73.9662,86.92,35.0,1012.0,72.0,1.01,US,1717440468.0
4,westport,41.1415,-73.3579,89.47,49.0,1012.0,0.0,8.05,US,1717440815.0
5,callao,-12.0667,-77.15,66.49,72.0,1012.0,40.0,9.22,PE,1717440945.0
6,invercargill,-46.4,168.35,34.02,94.0,1029.0,59.0,1.01,NZ,1717440968.0
7,klyuchi,52.2667,79.1667,63.09,57.0,1013.0,100.0,17.9,RU,1717440969.0
8,valdosta,30.8327,-83.2785,91.69,56.0,1014.0,20.0,0.0,US,1717440970.0
9,bethel,41.3712,-73.414,88.56,43.0,1011.0,0.0,8.05,US,1717440852.0
10,cabo san lucas,22.8909,-109.9124,90.61,52.0,1011.0,2.0,12.41,MX,1717440972.0
11,hermanus,-34.4187,19.2345,60.8,81.0,1007.0,100.0,12.8,ZA,1717440848.0
12,adamstown,-25.066,-130.1015,70.14,82.0,1018.0,100.0,4.81,PN,1717440975.0
13,luderitz,-26.6481,15.1594,55.24,79.0,1020.0,0.0,8.25,NA,1717440976.0
14,bilibino,68.0546,166.4372,48.49,40.0,1020.0,32.0,4.92,RU,1717440977.0
15,puerto san jose,13.9256,-90.8244,89.49,67.0,1008.0,41.0,11.16,GT,1717440978.0
16,capo d'orlando,38.1435,14.7305,71.42,88.0,1016.0,99.0,3.02,IT,1717440979.0
17,kerikeri,-35.2268,173.9474,46.9,94.0,1022.0,100.0,1.01,NZ,1717440980.0
18,constantia,44.1833,28.65,74.08,79.0,1014.0,100.0,11.12,RO,1717440981.0
19,tidaholm,58.1804,13.9582,63.75,62.0,1006.0,0.0,12.15,SE,1717440983.0
20,uturoa,-16.7333,-151.4333,79.59,75.0,1015.0,100.0,9.1,PF,1717440984.0
21,edinburgh of the seven seas,-37.0676,-12.3116,53.6,59.0,1035.0,61.0,6.69,SH,1717440985.0
22,grytviken,-54.2811,-36.5092,28.49,73.0,993.0,21.0,9.26,GS,1717440986.0
23,ribeira grande,38.5167,-28.7,70.2,73.0,1017.0,20.0,11.01,PT,1717440987.0
24,zhangye,38.9342,100.4517,57.43,64.0,1012.0,100.0,9.89,CN,1717440988.0
25,quepos,9.4236,-84.1652,84.58,77.0,1009.0,100.0,5.3,CR,1717440989.0
26,margaret river,-33.95,115.0667,60.8,79.0,1021.0,41.0,6.55,AU,1717440991.0
27,qaqortoq,60.7167,-46.0333,42.58,78.0,1025.0,94.0,2.89,GL,1717440992.0
28,bredasdorp,-34.5322,20.0403,57.97,75.0,1006.0,100.0,9.89,ZA,1717440993.0
29,puerto natales,-51.7236,-72.4875,34.77,86.0,1010.0,100.0,1.97,CL,1717440994.0
30,port glaud,,,,,,,,,
31,waitangi,-43.9535,-176.5597,46.81,75.0,1012.0,61.0,8.99,NZ,1717440996.0
32,thompson,55.7435,-97.8558,57.36,62.0,1007.0,40.0,11.5,CA,1717440926.0
33,new norfolk,-42.7826,147.0587,51.3,98.0,1012.0,65.0,2.48,AU,1717440998.0
34,port mathurin,-19.6833,63.4167,75.09,69.0,1017.0,0.0,19.08,MU,1717440909.0
35,vila velha,-20.3297,-40.2925,80.96,99.0,1020.0,75.0,0.0,BR,1717440988.0
36,port elizabeth,-33.918,25.5701,57.49,92.0,1011.0,20.0,3.44,ZA,1717441002.0
37,taiohae,,,,,,,,,
38,carnarvon,-24.8667,113.6333,65.89,71.0,1021.0,0.0,11.41,AU,1717441004.0
39,elliot lake,46.3834,-82.6331,76.89,43.0,1012.0,26.0,10.09,CA,1717441005.0
40,eirunepe,-6.6603,-69.8736,88.63,55.0,1012.0,98.0,4.38,BR,1717441006.0
41,chui,-33.6971,-53.4616,51.3,67.0,1028.0,99.0,9.98,UY,1717441007.0
42,'ohonua,,,,,,,,,
43,yichun,47.7,128.9,45.93,98.0,1016.0,20.0,3.31,CN,1717441009.0
44,yemetsk,63.4721,41.7941,65.44,74.0,1004.0,98.0,5.53,RU,1717441011.0
45,sinop,41.7711,34.8709,68.81,62.0,1017.0,0.0,8.75,TR,1717441012.0
46,enewetak,11.3474,162.3373,81.32,81.0,1012.0,100.0,13.18,MH,1717441013.0
47,nemuro,43.3236,145.575,44.58,96.0,1019.0,100.0,7.02,JP,1717441014.0
48,iqaluit,63.7506,-68.5145,33.53,86.0,1020.0,100.0,20.71,CA,1717441015.0
49,mukalla,14.5425,49.1242,87.3,70.0,1005.0,0.0,1.81,YE,1717440941.0
